type,max_df,min_df,lower,vocab_size,train_micro_f1,train_macro_f1,test_micro_f1,test_macro_f1
tfidf,1.0,1,True,314448,0.551372681132607,0.5512513477651412,0.4040835261695817,0.4038787504594819
tfidf,1.0,1,False,403015,0.572992892212361,0.5728954083306359,0.40474073419525153,0.4046529784400566
tfidf,1.0,3,True,89225,0.5095888860047827,0.5094016755142587,0.4028132921703881,0.4025821349710565
tfidf,1.0,3,False,113168,0.5251050704427593,0.5249618932081128,0.40431548194334754,0.40416405698775665
tfidf,1.0,5,True,62986,0.498118120716412,0.4979021818259892,0.4026862687704687,0.4024082001431919
tfidf,1.0,5,False,79026,0.5113685942927834,0.5112075669720698,0.40380738834367014,0.40362840594475013
tfidf,0.1,1,True,314425,0.5541271559460758,0.5540270389111172,0.4038902296914436,0.403710770910402
tfidf,0.1,1,False,402993,0.5758688676692311,0.5757887724141555,0.40403934411743586,0.4040103398733456
tfidf,0.1,3,True,89202,0.5102916567717279,0.5101216166778023,0.40255372261403105,0.4023184291442446
tfidf,0.1,3,False,113146,0.525875494977053,0.5257568239493552,0.40391784347403475,0.4037902530139279
tfidf,0.1,5,True,62963,0.4983625026923438,0.4981593213535958,0.4019738331796166,0.401674316929647
tfidf,0.1,5,False,79004,0.5120975981531902,0.511961712927674,0.4029900203789715,0.4028374082499358
tfidf,0.01,1,True,314181,0.5608400664939884,0.5607310772338596,0.3997923443549144,0.39965182587089787
tfidf,0.01,1,False,402745,0.5837871198272482,0.5837169420883771,0.40062628058916766,0.40064107903108725
tfidf,0.01,3,True,88958,0.5112098150428842,0.5110101030195807,0.3990302039553983,0.3987828468987502
tfidf,0.01,3,False,112898,0.527651061197665,0.5275522751016428,0.3994885927464116,0.3993915090773104
tfidf,0.01,5,True,62719,0.4980974103794686,0.4978667129353074,0.3988148164511871,0.3985159849178747
tfidf,0.01,5,False,78756,0.512861119241836,0.5127324441720106,0.39923454594657287,0.3991163170718491
