type,max_df,min_df,lower,dual,vocab_size,train_micro_f1,train_macro_f1,test_micro_f1,test_macro_f1
tfidf,0.1,3,True,True,89202,0.5303295981090081,0.5300672188390038,0.39561161767061176,0.39517904621245187
tfidf,0.1,3,True,False,89202,0.5302964615698987,0.5300339871642753,0.3956337086966847,0.3952014867151332
tfidf,0.1,3,False,True,113146,0.5526898585622055,0.5525461516920774,0.39492679586235085,0.3946051995371082
tfidf,0.1,3,False,False,113146,0.5526139206600799,0.5524707062973259,0.3949875461840514,0.39466779332137186
tfidf,0.1,5,True,True,62963,0.5093265550701667,0.5089512724916766,0.39678244205247726,0.3961903155916937
tfidf,0.1,5,True,False,62963,0.509203673737636,0.5088260517297293,0.39674930551336784,0.39615566962221255
tfidf,0.1,5,False,True,79004,0.5274370543825835,0.5272079848319723,0.394976500671015,0.3945613471691222
tfidf,0.1,5,False,False,79004,0.5274149633565105,0.5271847876998188,0.39489918207975966,0.39448253921910076
tfidf,0.05,3,True,True,89176,0.5302522795177529,0.5300026816199684,0.39515875163611663,0.394754934369083
tfidf,0.05,3,True,False,89176,0.5302219043569026,0.5299717656302482,0.39516979714915307,0.3947608163796337
tfidf,0.05,3,False,True,113122,0.5528776322838255,0.5527464482902482,0.39448497534089216,0.394180751580989
tfidf,0.05,3,False,False,113122,0.5528513991903639,0.5527197116788255,0.3944904980974104,0.3941879980462182
tfidf,0.05,5,True,True,62937,0.5091125482550851,0.5087525758147108,0.395948505818224,0.3953740941688264
tfidf,0.05,5,True,False,62937,0.5090945992964008,0.508735154318037,0.3960037333834063,0.39543342319594244
tfidf,0.05,5,False,True,78980,0.5274536226521381,0.5272438898668176,0.3952526384969266,0.39486200802984367
tfidf,0.05,5,False,False,78980,0.5274812364347293,0.5272720342318907,0.3952526384969266,0.3948631523986235
tfidf,0.025,3,True,True,89120,0.5297359017832981,0.5295013634902634,0.39427511059319925,0.39388887375066
tfidf,0.025,3,True,False,89120,0.5297069073115773,0.52947111949414,0.39439661123660036,0.3940108583029602
tfidf,0.025,3,False,True,113063,0.552522795177529,0.5523998047247449,0.393938222445587,0.39363843987049024
tfidf,0.025,3,False,False,113063,0.5525214144883994,0.5523994603646217,0.3939161314195141,0.3936170129318292
tfidf,0.025,5,True,True,62881,0.5086914380705698,0.5083425597251457,0.3952360702273719,0.3946910293877924
tfidf,0.025,5,True,False,62881,0.5087093870292541,0.5083577652069201,0.3952471157404083,0.394703664960776
tfidf,0.025,5,False,True,78921,0.5267522325743225,0.5265388828602845,0.3943413836714181,0.39398449615235426
tfidf,0.025,5,False,False,78921,0.5267121925895653,0.5265008509475897,0.39430272437579045,0.39394775592198417
tfidf,0.01,3,True,True,88958,0.5286603449513722,0.5283832811172569,0.3913314813689809,0.3909064887946156
tfidf,0.01,3,True,False,88958,0.528645157370947,0.5283676736613055,0.39128729931683504,0.3908595385964088
tfidf,0.01,3,False,True,112898,0.552000894686556,0.5518726566625467,0.3909835477083322,0.39071718471005407
tfidf,0.01,3,False,False,112898,0.55195671263441,0.5518312987377068,0.3909393656561863,0.39067614528952727
tfidf,0.01,5,True,True,62719,0.5072817544692907,0.5069034404949341,0.392540965046474,0.39196485316486845
tfidf,0.01,5,True,False,62719,0.5072776124019021,0.5068997809504989,0.392540965046474,0.39196491001171924
tfidf,0.01,5,False,True,78756,0.525912773583551,0.5256889475221899,0.39183957496865834,0.39149019336436713
tfidf,0.01,5,False,False,78756,0.52585340395098,0.5256291486972753,0.39183957496865834,0.39148994556466027
tfidf,1.0,1,True,True,314448,0.6183402459835753,0.6183218188913892,0.39657257730478435,0.3963829330648622
tfidf,1.0,1,True,False,314448,0.61826292739232,0.618244227019647,0.396517349739602,0.39632601256600736
tfidf,1.0,1,False,True,403015,0.6533973236721913,0.6534273609420306,0.3954183211924736,0.3953482129620978
tfidf,1.0,1,False,False,403015,0.6532910106092152,0.6533210204280676,0.39534100260121824,0.395271612976073
tfidf,1.0,3,True,True,89225,0.5298408341571446,0.5295622558962251,0.3965283952526385,0.39608057485147735
tfidf,1.0,3,True,False,89225,0.5298228851984602,0.5295443293141516,0.3965615317917479,0.39611538661374057
tfidf,1.0,3,False,True,113168,0.552450999342792,0.5522925051267706,0.39544041221854653,0.3950916778430114
tfidf,1.0,3,False,False,113168,0.5524482379645329,0.5522901890150618,0.39545145773158297,0.39510379686531366
tfidf,1.0,5,True,True,62986,0.5092381909658749,0.5088505856254814,0.397014397826243,0.3964110655263852
tfidf,1.0,5,True,False,62986,0.5091926282245994,0.5088039358064597,0.3970420116088342,0.39643893399687774
tfidf,1.0,5,False,True,79026,0.5275557936477254,0.5272914663987148,0.395782823122677,0.39537026413659077
tfidf,1.0,5,False,False,79026,0.527522657108616,0.527257655485939,0.3957938686357135,0.39538488726495596
